ID,GRADE,NAME,HP,DAMAGE,STAGE,MONSTER_COUNT
2000,0,10000,0,0,0,0
2011,1,12011,30,0,1,2
2012,1,12012,30,0,1,2
2013,1,12013,30,0,1,2
2014,1,12014,30,0,1,2
2015,1,12015,30,0,1,2
2017,1,12017,30,0,1,2
2021,1,12021,50,2,2,3
2022,1,12022,50,2,2,3
2023,1,12023,70,2,2,2
2024,1,12024,70,2,2,2
2025,1,12025,70,2,2,2
2027,1,12027,70,2,2,2
2031,1,12031,90,3,3,3
2032,1,12032,90,3,3,3
2033,1,12033,130,3,3,2
2034,1,12034,130,3,3,2
2035,1,12035,130,3,3,2
2037,1,12037,130,3,3,2
2041,1,12041,150,7,4,1
2042,1,12042,150,7,4,1
2043,1,12043,150,7,4,1
2044,1,12044,200,10,4,1
2045,1,12045,200,10,4,1
2047,1,12047,200,10,4,1
3017,2,13017,45,3,1,1
3027,2,13027,75,5,2,1
3037,2,13037,135,6,3,1
3047,2,13047,225,10,4,1
